,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
10948,626895236276590092,Lovely private bedroom in the heart of Montreal,229750650,Syed Jawad,Verdun,45.465141,-73.569916,Private room,47,1,13,2022-09-03,4.06,1,345,13
10949,626911366848646239,Chambre et salon privé dans mon logement,162015735,Francois,Villeray-Saint-Michel-Parc-Extension,45.5673828125,-73.6275482177734,Private room,41,1,26,2022-09-11,6.67,5,333,26
10950,629041753380838662,New Construction Modern Studio Loft | Montreal,416830513,Arival Properties,Rosemont-La Petite-Patrie,45.53739,-73.5981,Entire home/apt,59,31,1,2022-07-02,0.41,28,336,1
10951,629367948432797587,Spacious condo in downtown montreal.,437381234,Anis,Ville-Marie,45.49134,-73.57616,Entire home/apt,256,1,1,2022-09-04,1.0,2,66,1
10952,626925740181729911,Chambre privé au rez-de-chaussé à Montréal,162015735,Francois,Villeray-Saint-Michel-Parc-Extension,45.5673828125,-73.6275482177734,Private room,35,1,20,2022-09-11,5.13,5,320,20
10953,627340534789831531,"Appartement lumineux avec piscine, gym et terrasse",25514092,Prince Johann,Le Plateau-Mont-Royal,45.525993,-73.574242,Entire home/apt,261,2,13,2022-08-26,5.13,1,310,13
10954,629466480924206405,Petit paradis dans le Vieux-Rosemont,22888712,Christina,Rosemont-La Petite-Patrie,45.54714,-73.57676,Entire home/apt,120,2,6,2022-09-04,1.78,1,254,6
10955,629607856467701501,Amazing 1 bedroom condo in prime downtown area,177148864,Hakan,Ville-Marie,45.49629,-73.57381,Entire home/apt,250,3,3,2022-08-12,1.18,1,0,3
10956,627408802480256757,Spacious and Central. 3-storey Home with Pool.,388516852,Paul,Le Sud-Ouest,45.480488,-73.553619,Entire home/apt,650,3,3,2022-08-25,2.37,1,342,3
10957,629635463012475192,Pleasant 3 BR with back terrace - Montreal,159008278,Ahona,Le Sud-Ouest,45.47567,-73.55995,Entire home/apt,139,1,10,2022-08-26,4.11,16,42,10
10958,627484118130362384,"AAA Location, 2 bedrooms in the heart of Montreal",237107097,Robert,Ville-Marie,45.51191,-73.55925,Entire home/apt,72,31,1,2022-07-10,0.45,23,338,1
10959,627605002731688961,"Superbe condo de luxe avec piscines, spa et gym",92878083,Frédéric,Le Sud-Ouest,45.49565,-73.55908,Entire home/apt,303,2,3,2022-07-31,0.89,1,0,3
10960,629678163858328176,Joli condo récemment rénové dans un coin calme,72578556,Julie,Mercier-Hochelaga-Maisonneuve,45.57217,-73.53559,Entire home/apt,86,31,1,2022-08-21,1.0,1,329,1
10961,629698816791515733,Lovely 1 bedroom apartment in the Gay Quartier,39975481,Michel P. & Lupita,Ville-Marie,45.52154,-73.55433,Entire home/apt,170,2,21,2022-09-12,5.89,6,332,21
10962,627688530987040763,FULLY RENOVATED! ALL NEW! 3 1/2 DT MTL W/ PATIO,131392843,Fady,Ville-Marie,45.491726,-73.583672,Entire home/apt,163,2,15,2022-09-05,5.84,3,121,15
10963,629701158334060999,Spacious and bright studio Old Montreal,24626956,Mia,Ville-Marie,45.50592,-73.556023,Entire home/apt,379,3,7,2022-08-08,2.44,2,13,7
10964,627697389049106958,"Furnished room near metro, HEC, UdeM,Polytechnique",438658450,Lui,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49374,-73.6244,Private room,60,32,1,2022-08-02,0.7,38,260,1
10965,629775914382745648,PRETTY & COZY in the ♥︎ of Mile-End | FREE Parking,240037186,Jonathan,Le Plateau-Mont-Royal,45.5235569767695,-73.6000195398748,Entire home/apt,151,2,13,2022-09-11,4.02,31,267,13
10966,627709801236320325,Quirky cozy room in the heart of Montreal.,163847911,Qiaofu,Ville-Marie,45.487827,-73.581657,Private room,79,2,8,2022-09-12,2.45,1,151,8
10967,629784366793277088,☀︎ BRIGHT and COZY 4Beds in the Heart of Mile-End,240037186,Jonathan,Le Plateau-Mont-Royal,45.52568634165569,-73.6001579184611,Entire home/apt,178,1,7,2022-09-04,2.23,31,271,7
10968,627727182465531985,Luxurious tranquil waterfront Villa,140336144,Nessim,Pierrefonds-Roxboro,45.5037,-73.85472,Entire home/apt,1950,3,2,2022-08-06,0.75,1,365,2
10969,629791528206944294,☼ BRIGHT and PRETTY 4BedR in the ❤︎ of Mile-End,240037186,Jonathan,Le Plateau-Mont-Royal,45.5234685045904,-73.5988027669624,Entire home/apt,155,2,6,2022-08-21,2.25,31,260,6
10970,629796896638532003,BRIGHT & PRETTY~ The ♥︎ of Mile-End ~ AAA LOCATION,240037186,Jonathan,Le Plateau-Mont-Royal,45.52511,-73.6002,Entire home/apt,151,2,4,2022-08-28,1.19,31,271,4
10971,629797834574376446,Beautiful One Bedroom Apartment In Little Italy,175533969,Alex,Rosemont-La Petite-Patrie,45.53279,-73.60887,Entire home/apt,100,7,1,2022-06-27,0.38,1,134,1
10972,627770830968360371,Appartement rénové au cœur du quartier St Henri,48410276,Chloé,Le Sud-Ouest,45.46830609780191,-73.5940718529467,Entire home/apt,104,1,6,2022-08-31,4.29,1,134,6
10973,629806539387634285,BEAUTIFUL and NEW 4BedR in Mile-End ~ FREE Parking,240037186,Jonathan,Le Plateau-Mont-Royal,45.5233152694945,-73.5981285774031,Entire home/apt,180,2,7,2022-09-05,2.02,31,270,7
10974,628017400719093937,Modern + Industrial Penthouse | Old Montreal Loft,156996091,Hung,Ville-Marie,45.50491,-73.55744,Entire home/apt,584,2,15,2022-08-22,4.41,4,307,15
10975,629811378729155967,The BEST 4Beds In The ♥︎ of Plateau | AAA Location,240037186,Jonathan,Le Plateau-Mont-Royal,45.5292848757256,-73.5908110680565,Entire home/apt,163,1,7,2022-09-11,1.94,31,263,7
10976,628038252314950322,CENTRAL ANJOU **3BDR** WTH PARKING,434955825,Gabrielle,Anjou,45.5939,-73.54853,Entire home/apt,125,32,0,2022-09-11,1.498,57,72,0
10977,629819091303573410,BRIGHT and VIBRANT 3Beds in the ♥︎ of MTL,240037186,Jonathan,Le Sud-Ouest,45.4763162926981,-73.5792509334529,Entire home/apt,104,1,9,2022-09-05,3.7,31,342,9
10978,629819117867409482,BRIGHT and COZY → 4BedR in the ♡ of MTL,240037186,Jonathan,Le Plateau-Mont-Royal,45.5304829893663,-73.5655230097382,Entire home/apt,149,1,6,2022-08-16,3.21,31,349,6
10979,629931187907466128,M11 | Stylish & Spacious 4BR w/Balcony Perfect For Big Groups **Prime Location**,283833782,Mark,Le Plateau-Mont-Royal,45.51515,-73.57105,Entire home/apt,323,2,14,2022-08-22,3.72,35,178,14
10980,628053875203789055,Lovely 3 1/2 condo with balcony,459353032,Cynthia,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4618,-73.65621,Entire home/apt,99,2,14,2022-09-10,3.53,1,48,14
10981,628055468734367413,Lovely 1+1BDR in DT with free parking,383353517,Lucas,Ville-Marie,45.49705,-73.57333,Entire home/apt,208,1,24,2022-08-24,6.92,5,4,24
10982,630237487229755165,★Luxurious★Two Floor Penthouse w/ Rooftop Patio,318040,Seb,Ville-Marie,45.51659,-73.55843,Entire home/apt,348,3,5,2022-09-01,1.5,8,154,5
10983,628083110521383953,Comfortable 2 bedrooms near all commodities,459361046,Nicolas,Mercier-Hochelaga-Maisonneuve,45.54894,-73.53646,Entire home/apt,1350,2,2,2022-07-31,0.69,1,10,2
10984,630264799222197089,Spacious well decorated 3BR just beside Metro,459880072,Kevin,Mercier-Hochelaga-Maisonneuve,45.56963,-73.52629,Entire home/apt,193,1,3,2022-07-05,0.94,4,101,3
10985,628111884328476833,❤️Your Montreal Getaway❤️Book NOW for BIG Discount 🤑,163549248,Lakhvir,Ville-Marie,45.52231,-73.55632,Entire home/apt,232,31,11,2022-09-06,5.0,2,362,11
10986,630281467147577639,Stunning three bedroom condo with rooftop terrace,189911398,Sam,Le Plateau-Mont-Royal,45.508457,-73.577332,Entire home/apt,564,3,8,2022-09-05,2.47,1,178,8
